planner,mapName,problemIndex,numSteps,cost,timespent,success
0,./map1.txt,0,10,18.66219161435917,0.06260772499808809,True
0,./map2.txt,1,5,5.497811,0.004029970004921779,True
1,./map1.txt,0,10,15.278693,0.004418857999553438,True
1,./map2.txt,1,5,5.719163,0.005324940000718925,True
2,./map1.txt,0,2,9.503305,4.426964961996418,True
2,./map2.txt,1,2,4.3196829999999995,0.004396907999762334,True
3,./map1.txt,0,8,30.071225600000002,6.40609151499666,True
3,./map2.txt,1,12,11.623867,3.6880347309997887,True
